timestamp,min_rtt_ms,avg_rtt_ms,max_rtt_ms,packet_loss_percent
2026-02-23T07:53:03.247558,141.7,141.7,141.7,0.0
2026-02-23T07:53:03.321458,70.145,70.145,70.145,0.0
2026-02-23T07:53:03.394750,70.116,70.116,70.116,0.0
2026-02-23T07:53:03.467845,70.113,70.113,70.113,0.0
2026-02-23T07:53:03.540910,70.146,70.146,70.146,0.0
2026-02-23T07:53:03.614117,70.097,70.097,70.097,0.0
2026-02-23T07:53:03.687039,70.085,70.085,70.085,0.0
2026-02-23T07:53:03.759861,70.082,70.082,70.082,0.0
2026-02-23T07:53:03.832858,70.142,70.142,70.142,0.0
2026-02-23T07:53:03.906362,70.164,70.164,70.164,0.0
2026-02-23T07:53:03.980720,70.113,70.113,70.113,0.0
2026-02-23T07:53:04.053666,70.082,70.082,70.082,0.0
2026-02-23T07:53:04.125814,70.056,70.056,70.056,0.0
2026-02-23T07:53:14.128168,,,,100.0
2026-02-23T07:53:14.201128,70.103,70.103,70.103,0.0
2026-02-23T07:53:14.273743,70.073,70.073,70.073,0.0
2026-02-23T07:53:14.346026,70.089,70.089,70.089,0.0
2026-02-23T07:53:14.418464,70.139,70.139,70.139,0.0
2026-02-23T07:53:14.491819,70.18,70.18,70.18,0.0
2026-02-23T07:53:14.565740,70.12,70.12,70.12,0.0
2026-02-23T07:53:14.639451,70.155,70.155,70.155,0.0
2026-02-23T07:53:24.643025,,,,100.0
2026-02-23T07:53:24.716902,70.104,70.104,70.104,0.0
2026-02-23T07:53:24.790573,70.176,70.176,70.176,0.0
2026-02-23T07:53:24.863473,70.165,70.165,70.165,0.0
2026-02-23T07:53:24.936187,70.097,70.097,70.097,0.0
2026-02-23T07:53:25.009839,70.114,70.114,70.114,0.0
2026-02-23T07:53:25.083981,70.181,70.181,70.181,0.0
2026-02-23T07:53:25.157739,70.216,70.216,70.216,0.0
2026-02-23T07:53:25.231287,70.109,70.109,70.109,0.0
2026-02-23T07:53:25.304852,70.126,70.126,70.126,0.0
2026-02-23T07:53:25.378307,70.116,70.116,70.116,0.0
2026-02-23T07:53:25.451669,70.181,70.181,70.181,0.0
2026-02-23T07:53:25.524759,70.097,70.097,70.097,0.0
2026-02-23T07:53:25.597955,70.066,70.066,70.066,0.0
2026-02-23T07:53:25.671582,70.119,70.119,70.119,0.0
2026-02-23T07:53:25.745135,70.081,70.081,70.081,0.0
2026-02-23T07:53:25.818150,70.052,70.052,70.052,0.0
2026-02-23T07:53:25.890556,70.097,70.097,70.097,0.0
2026-02-23T07:53:25.963604,70.069,70.069,70.069,0.0
2026-02-23T07:53:26.036878,70.067,70.067,70.067,0.0
2026-02-23T07:53:26.109867,70.114,70.114,70.114,0.0
2026-02-23T07:53:26.183030,70.067,70.067,70.067,0.0
2026-02-23T07:53:26.256666,70.098,70.098,70.098,0.0
2026-02-23T07:53:26.328942,70.058,70.058,70.058,0.0
2026-02-23T07:53:36.332370,,,,100.0
2026-02-23T07:53:46.335103,,,,100.0
2026-02-23T07:53:56.338169,,,,100.0
2026-02-23T07:53:56.411536,70.082,70.082,70.082,0.0
2026-02-23T07:53:56.484891,70.122,70.122,70.122,0.0
2026-02-23T07:53:56.558316,70.055,70.055,70.055,0.0
2026-02-23T07:53:56.631906,70.093,70.093,70.093,0.0
2026-02-23T07:53:56.705186,70.104,70.104,70.104,0.0
2026-02-23T07:53:56.778244,70.056,70.056,70.056,0.0
2026-02-23T07:53:56.851754,70.065,70.065,70.065,0.0
2026-02-23T07:53:56.924984,70.053,70.053,70.053,0.0
2026-02-23T07:53:56.998130,70.046,70.046,70.046,0.0
2026-02-23T07:53:57.071013,70.049,70.049,70.049,0.0
2026-02-23T07:53:57.143896,70.103,70.103,70.103,0.0
2026-02-23T07:53:57.217158,70.072,70.072,70.072,0.0
